gene	population	piN	piS	piN_piS	sites_used	ref_fasta	genetic_code
aars2	THE	0.000865388	0.00100924	0.857464	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	JOE	0.000433839	0.000212338	2.04315	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	BEA	0.000460452	0.000524289	0.87824	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	MUC	0.000257411	0.00015226	1.6906	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	PYE	0.000593407	0.00106664	0.556333	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	AMO	0.000634637	0.000994025	0.638452	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	SAY	0.000892743	0.0009494	0.940323	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	GOS	0.000352106	0.000737887	0.477181	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	ROB	0.000711833	0.000751012	0.947832	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	FG	0.00085473	0.000903786	0.945722	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	BOOT	0.000466682	0.000464316	1.0051	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	ECHO	0.000304479	0.00039424	0.772318	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	FRED	0.00124437	0.000609786	2.04066	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	LAW	0.00065683	0.000822562	0.798518	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	PACH	0.000690903	0.000404908	1.70632	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	RS	0.001467	0.0012989	1.12942	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	SC	0.00091838	0.000973641	0.943244	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	LB	0.00119173	0.00085437	1.39486	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	CH	0.000886797	0.000958374	0.925314	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	LG	0.000872773	0.00085181	1.02461	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	SR	0.000777915	0.0005896	1.3194	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	SL	0.000742936	0.000666258	1.11509	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	TL	0.00134884	0.000642682	2.09877	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	WB	0.000859914	0.000871995	0.986145	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	WT	0.000826154	0.000674219	1.22535	2834	/work/cyu/stickleback_nuclear_only.fa	1
